epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1015.45,0.82713,0.88194,0.97754,0.99722,1,0.995,0.82988,0.75273,0.9152,0.87032,0.0004754,0.0004754,0.0004754
79,1028.14,0.83422,0.89746,0.95461,0.99722,1,0.995,0.82988,0.75273,0.9152,0.87032,0.0004556,0.0004556,0.0004556
80,1040.87,0.82923,0.90217,0.96494,0.99743,1,0.995,0.81563,0.69511,0.87773,0.85977,0.0004358,0.0004358,0.0004358
81,1053.85,0.78779,0.88327,0.87597,0.99743,1,0.995,0.81563,0.69511,0.87773,0.85977,0.000416,0.000416,0.000416
82,1066.89,0.77376,0.85271,0.94365,0.9978,1,0.995,0.83728,0.66426,0.85893,0.86313,0.0003962,0.0003962,0.0003962
83,1079.83,0.81933,0.90518,0.93349,0.9978,1,0.995,0.83728,0.66426,0.85893,0.86313,0.0003764,0.0003764,0.0003764
84,1092.76,0.77297,0.83308,0.93144,0.99798,1,0.995,0.84158,0.65218,0.86364,0.86051,0.0003566,0.0003566,0.0003566
85,1105.55,0.77289,0.8145,0.94315,0.99798,1,0.995,0.84158,0.65218,0.86364,0.86051,0.0003368,0.0003368,0.0003368
86,1118.66,0.84858,0.82704,0.96518,0.99808,1,0.995,0.84611,0.64501,0.85601,0.85476,0.000317,0.000317,0.000317
87,1131.49,0.82544,0.87672,0.9288,0.99808,1,0.995,0.84611,0.64501,0.85601,0.85476,0.0002972,0.0002972,0.0002972
88,1144.35,0.71123,0.82086,0.90572,0.99798,1,0.995,0.87446,0.59009,0.83767,0.84346,0.0002774,0.0002774,0.0002774
89,1157.26,0.69022,0.84318,0.90069,0.99798,1,0.995,0.87446,0.59009,0.83767,0.84346,0.0002576,0.0002576,0.0002576
90,1170.3,0.69468,0.83579,0.90485,0.99797,1,0.995,0.88158,0.56855,0.82031,0.83972,0.0002378,0.0002378,0.0002378
91,1183.43,0.72971,1.03263,0.90821,0.99797,1,0.995,0.88158,0.56855,0.82031,0.83972,0.000218,0.000218,0.000218
92,1196.37,0.72714,1.0071,0.95057,0.99797,1,0.995,0.88831,0.57701,0.82197,0.83937,0.0001982,0.0001982,0.0001982
93,1209.1,0.63568,0.97186,0.89922,0.99797,1,0.995,0.88831,0.57701,0.82197,0.83937,0.0001784,0.0001784,0.0001784
94,1221.92,0.6842,0.99375,0.91342,0.9979,1,0.995,0.87493,0.59368,0.82612,0.83913,0.0001586,0.0001586,0.0001586
95,1234.66,0.61875,0.90633,0.90173,0.9979,1,0.995,0.87493,0.59368,0.82612,0.83913,0.0001388,0.0001388,0.0001388
96,1247.46,0.65811,0.94363,0.90241,0.99782,1,0.995,0.87437,0.6057,0.81468,0.8375,0.000119,0.000119,0.000119
97,1260,0.60891,0.97757,0.8626,0.99782,1,0.995,0.87437,0.6057,0.81468,0.8375,9.92e-05,9.92e-05,9.92e-05
98,1272.52,0.65406,0.95008,0.90869,0.99783,1,0.995,0.8746,0.60476,0.8103,0.83767,7.94e-05,7.94e-05,7.94e-05
99,1285.09,0.62941,0.94333,0.89203,0.99783,1,0.995,0.8746,0.60476,0.8103,0.83767,5.96e-05,5.96e-05,5.96e-05
100,1297.74,0.60232,0.92081,0.8775,0.99789,1,0.995,0.86667,0.5948,0.80113,0.83801,3.98e-05,3.98e-05,3.98e-05
