epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1019.14,0.52033,0.63992,0.88239,0.98324,0.96906,0.995,0.87419,0.53644,1.30298,0.8188,0.0004832,0.0004832,0.0004832
82,1031.71,0.52955,0.64845,0.86862,0.98351,0.90802,0.995,0.87871,0.52353,1.38394,0.81547,0.00048523,0.00048523,0.00048523
83,1044.17,0.5028,0.63624,0.86875,0.98351,0.90802,0.995,0.87871,0.52353,1.38394,0.81547,0.000487162,0.000487162,0.000487162
84,1056.71,0.49319,0.59245,0.85932,0.98356,0.90152,0.995,0.88038,0.51478,1.40936,0.80801,0.000488994,0.000488994,0.000488994
85,1069.4,0.50761,0.62501,0.87235,0.98356,0.90152,0.995,0.88038,0.51478,1.40936,0.80801,0.000490728,0.000490728,0.000490728
86,1081.9,0.53608,0.64883,0.8627,0.98165,0.94234,0.995,0.86319,0.53267,1.38407,0.80206,0.000492362,0.000492362,0.000492362
87,1094.63,0.51224,0.64867,0.87584,0.98165,0.94234,0.995,0.86319,0.53267,1.38407,0.80206,0.000493898,0.000493898,0.000493898
88,1107.02,0.51615,0.61841,0.83911,0.98161,0.97342,0.995,0.86487,0.53625,1.33,0.80124,0.000495334,0.000495334,0.000495334
89,1119.56,0.49809,0.58694,0.83739,0.98161,0.97342,0.995,0.86487,0.53625,1.33,0.80124,0.000496672,0.000496672,0.000496672
90,1132.13,0.5053,0.60295,0.85951,0.97982,0.98213,0.995,0.86569,0.55824,1.26861,0.8018,0.00049791,0.00049791,0.00049791
91,1144.73,0.51078,0.60829,0.83887,0.97982,0.98213,0.995,0.86569,0.55824,1.26861,0.8018,0.00049905,0.00049905,0.00049905
92,1157.21,0.54235,0.65306,0.87696,0.98022,0.99405,0.995,0.85022,0.57994,1.20054,0.80185,0.00050009,0.00050009,0.00050009
93,1169.71,0.51746,0.57543,0.83047,0.98022,0.99405,0.995,0.85022,0.57994,1.20054,0.80185,0.000501032,0.000501032,0.000501032
94,1182.24,0.50578,0.60988,0.83579,0.98405,0.9949,0.995,0.86658,0.55934,1.13308,0.8019,0.000501874,0.000501874,0.000501874
95,1194.88,0.52441,0.59596,0.85751,0.98405,0.9949,0.995,0.86658,0.55934,1.13308,0.8019,0.000502618,0.000502618,0.000502618
96,1207.38,0.49708,0.53756,0.85534,0.9874,0.99282,0.995,0.88353,0.52013,1.12077,0.80109,0.000503263,0.000503263,0.000503263
97,1220.05,0.52327,0.60144,0.87174,0.9874,0.99282,0.995,0.88353,0.52013,1.12077,0.80109,0.000503808,0.000503808,0.000503808
98,1232.68,0.50126,0.59106,0.87118,0.98768,0.99098,0.995,0.89326,0.48919,1.11993,0.79927,0.000504255,0.000504255,0.000504255
99,1245.3,0.4933,0.58326,0.84991,0.98768,0.99098,0.995,0.89326,0.48919,1.11993,0.79927,0.000504602,0.000504602,0.000504602
100,1257.79,0.51018,0.56609,0.85872,0.98398,0.99127,0.995,0.88693,0.48431,1.15681,0.79672,0.000504851,0.000504851,0.000504851
101,1270.29,0.51504,0.58675,0.85661,0.98398,0.99127,0.995,0.88693,0.48431,1.15681,0.79672,0.000505,0.000505,0.000505
102,1282.75,0.46256,0.53863,0.86856,0.98083,0.9933,0.995,0.89445,0.4785,1.20941,0.79405,0.00050005,0.00050005,0.00050005
103,1295.39,0.4883,0.53669,0.85589,0.98083,0.9933,0.995,0.89445,0.4785,1.20941,0.79405,0.0004951,0.0004951,0.0004951
104,1307.87,0.46559,0.53876,0.84689,0.97941,1,0.995,0.89012,0.49047,1.20486,0.79368,0.00049015,0.00049015,0.00049015
105,1320.23,0.45511,0.53732,0.8542,0.97941,1,0.995,0.89012,0.49047,1.20486,0.79368,0.0004852,0.0004852,0.0004852
106,1332.88,0.4877,0.56302,0.85459,0.97944,0.99477,0.995,0.88938,0.48212,1.12834,0.7969,0.00048025,0.00048025,0.00048025
107,1345.52,0.49788,0.5418,0.86639,0.97944,0.99477,0.995,0.88938,0.48212,1.12834,0.7969,0.0004753,0.0004753,0.0004753
108,1358.21,0.48446,0.54334,0.8505,0.97962,1,0.995,0.88859,0.47359,1.04984,0.79928,0.00047035,0.00047035,0.00047035
109,1370.62,0.49679,0.56975,0.85314,0.97962,1,0.995,0.88859,0.47359,1.04984,0.79928,0.0004654,0.0004654,0.0004654
110,1383.06,0.51323,0.55534,0.86874,0.97896,1,0.995,0.89388,0.46018,0.98956,0.80001,0.00046045,0.00046045,0.00046045
111,1395.63,0.46576,0.53419,0.8399,0.97896,1,0.995,0.89388,0.46018,0.98956,0.80001,0.0004555,0.0004555,0.0004555
112,1408.16,0.49589,0.55409,0.85084,0.98148,0.9995,0.995,0.8942,0.44137,0.97479,0.79467,0.00045055,0.00045055,0.00045055
113,1420.68,0.48431,0.55789,0.84792,0.98148,0.9995,0.995,0.8942,0.44137,0.97479,0.79467,0.0004456,0.0004456,0.0004456
114,1433.3,0.46149,0.53258,0.85075,0.98337,0.99254,0.995,0.88931,0.48229,1.00141,0.79647,0.00044065,0.00044065,0.00044065
115,1445.8,0.47298,0.53353,0.85609,0.98337,0.99254,0.995,0.88931,0.48229,1.00141,0.79647,0.0004357,0.0004357,0.0004357
116,1458.38,0.50534,0.56737,0.86291,0.98383,0.99182,0.995,0.90575,0.44801,1.0224,0.7938,0.00043075,0.00043075,0.00043075
117,1470.89,0.47136,0.53386,0.8401,0.98383,0.99182,0.995,0.90575,0.44801,1.0224,0.7938,0.0004258,0.0004258,0.0004258
118,1483.63,0.47201,0.54948,0.84903,0.98513,0.99274,0.995,0.89676,0.43871,1.03541,0.79283,0.00042085,0.00042085,0.00042085
119,1496.17,0.47317,0.53635,0.83922,0.98513,0.99274,0.995,0.89676,0.43871,1.03541,0.79283,0.0004159,0.0004159,0.0004159
120,1508.76,0.46406,0.56942,0.85836,0.9828,0.99295,0.995,0.89832,0.44534,1.00308,0.79091,0.00041095,0.00041095,0.00041095
121,1521.17,0.43875,0.52617,0.84456,0.9828,0.99295,0.995,0.89832,0.44534,1.00308,0.79091,0.000406,0.000406,0.000406
122,1533.75,0.48232,0.55838,0.85658,0.9843,0.9926,0.995,0.9015,0.45119,0.95316,0.7912,0.00040105,0.00040105,0.00040105
123,1546.24,0.45652,0.56328,0.85761,0.9843,0.9926,0.995,0.9015,0.45119,0.95316,0.7912,0.0003961,0.0003961,0.0003961
124,1558.88,0.4574,0.51509,0.8363,0.98195,0.99604,0.995,0.90475,0.44802,0.88864,0.79166,0.00039115,0.00039115,0.00039115
125,1571.28,0.45556,0.52933,0.85735,0.98195,0.99604,0.995,0.90475,0.44802,0.88864,0.79166,0.0003862,0.0003862,0.0003862
126,1583.84,0.47562,0.5599,0.85011,0.98026,0.99686,0.995,0.91443,0.40953,0.83302,0.7888,0.00038125,0.00038125,0.00038125
127,1596.3,0.43862,0.52529,0.86476,0.98026,0.99686,0.995,0.91443,0.40953,0.83302,0.7888,0.0003763,0.0003763,0.0003763
128,1608.96,0.45993,0.53244,0.85408,0.97979,0.9997,0.995,0.91045,0.41507,0.78967,0.7892,0.00037135,0.00037135,0.00037135
129,1621.43,0.46621,0.52523,0.85251,0.97979,0.9997,0.995,0.91045,0.41507,0.78967,0.7892,0.0003664,0.0003664,0.0003664
130,1634.16,0.45225,0.50561,0.84419,0.98016,0.99714,0.995,0.91903,0.39858,0.74078,0.78892,0.00036145,0.00036145,0.00036145
131,1646.76,0.46655,0.54668,0.85965,0.98016,0.99714,0.995,0.91903,0.39858,0.74078,0.78892,0.0003565,0.0003565,0.0003565
132,1659.5,0.46598,0.54294,0.84924,0.98062,0.99764,0.995,0.91051,0.43248,0.71755,0.7916,0.00035155,0.00035155,0.00035155
133,1671.84,0.47465,0.51967,0.83985,0.98062,0.99764,0.995,0.91051,0.43248,0.71755,0.7916,0.0003466,0.0003466,0.0003466
134,1684.47,0.48032,0.52745,0.84776,0.98235,0.99837,0.995,0.90261,0.44249,0.70829,0.79329,0.00034165,0.00034165,0.00034165
135,1696.93,0.46038,0.52369,0.85718,0.98235,0.99837,0.995,0.90261,0.44249,0.70829,0.79329,0.0003367,0.0003367,0.0003367
136,1709.43,0.44496,0.51282,0.82604,0.98447,1,0.995,0.91112,0.4221,0.6951,0.79415,0.00033175,0.00033175,0.00033175
137,1721.96,0.41038,0.50068,0.83838,0.98447,1,0.995,0.91112,0.4221,0.6951,0.79415,0.0003268,0.0003268,0.0003268
