epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,1318.43,1.23687,2.13584,0.88312,0.09305,0.98754,0.4229,0.27254,1.13565,3.39886,0.89707,0.000239291,0.000239291,0.000239291
85,1333.93,1.21785,2.10132,0.86396,0.09305,0.98754,0.4229,0.27254,1.13565,3.39886,0.89707,0.0002416,0.0002416,0.0002416
86,1349.09,1.1584,2.04248,0.87628,0.09554,0.99034,0.45285,0.29697,1.10741,3.31212,0.89124,0.000243896,0.000243896,0.000243896
87,1364.09,1.18949,1.98498,0.88601,0.09554,0.99034,0.45285,0.29697,1.10741,3.31212,0.89124,0.000246178,0.000246178,0.000246178
88,1379.46,1.22289,2.05018,0.889,0.09931,0.98759,0.45824,0.29791,1.08881,3.28687,0.88802,0.000248446,0.000248446,0.000248446
89,1394.84,1.25981,2.0075,0.87764,0.09931,0.98759,0.45824,0.29791,1.08881,3.28687,0.88802,0.000250701,0.000250701,0.000250701
90,1410.01,1.22894,1.93023,0.88511,0.1003,0.98345,0.4739,0.31086,1.07895,3.24441,0.88627,0.000252942,0.000252942,0.000252942
91,1425.19,1.18325,1.8653,0.89322,0.1003,0.98345,0.4739,0.31086,1.07895,3.24441,0.88627,0.000255169,0.000255169,0.000255169
92,1440.95,1.15844,1.83499,0.89151,0.10069,0.98345,0.48066,0.31282,1.1042,3.22504,0.89039,0.000257382,0.000257382,0.000257382
93,1456.15,1.16327,1.88311,0.87809,0.10069,0.98345,0.48066,0.31282,1.1042,3.22504,0.89039,0.000259582,0.000259582,0.000259582
94,1471.46,1.21554,1.87734,0.87226,0.09795,0.98483,0.51088,0.33332,1.12019,3.13911,0.89503,0.000261769,0.000261769,0.000261769
95,1486.74,1.18529,1.91321,0.87582,0.09795,0.98483,0.51088,0.33332,1.12019,3.13911,0.89503,0.000263941,0.000263941,0.000263941
96,1501.93,1.17244,1.81332,0.86477,0.0959,0.9931,0.54211,0.36106,1.11783,3.07574,0.89598,0.0002661,0.0002661,0.0002661
97,1517.21,1.13981,1.78466,0.88675,0.0959,0.9931,0.54211,0.36106,1.11783,3.07574,0.89598,0.000268246,0.000268246,0.000268246
98,1532.46,1.1448,1.73274,0.88362,0.09547,0.99724,0.56435,0.37914,1.098,3.03132,0.89283,0.000270377,0.000270377,0.000270377
99,1547.55,1.19493,1.83364,0.89063,0.09547,0.99724,0.56435,0.37914,1.098,3.03132,0.89283,0.000272495,0.000272495,0.000272495
100,1562.75,1.17521,1.7023,0.87136,0.10011,1,0.57924,0.38981,1.08118,3.07056,0.89045,0.000274599,0.000274599,0.000274599
